english_caption,bengali_caption
a child in a pink dress is climbing up a set of stairs in an entry way .,একটি গোলাপী জামা পরা বাচ্চা মেয়ে একটি বাড়ির প্রবেশ পথের সিঁড়ি বেয়ে উঠছে।
a girl going into a wooden building .,একটি মেয়ে শিশু একটি কাঠের বাড়িতে ঢুকছে
a little girl climbing into a wooden playhouse .,একটি বাচ্চা তার কাঠের খেলাঘরে উঠছে ।
a little girl climbing the stairs to her playhouse .,ছোট মেয়েটি তার খেলার ঘরের সিড়ি বেয়ে উঠছে
a little girl in a pink dress going into a wooden cabin .,গোলাপি জামা পড়া ছোট একটি মেয়ে একটি কাঠের তৈরি ঘরে প্রবেশ করছে।
a black dog and a spotted dog are fighting,একটি কালো কুকুর এবং একটি ছোপওয়ালা কুকুর ঝগড়া করছে
a black dog and a tri-colored dog playing with each other on the road .,একটি কালো কুকুর একটি তিন রঙা কুকুরের সাথে রাস্তায় খেলছে।
a black dog and a white dog with brown spots are staring at each other in the street .,একটি কালো কুকুর ও একটি সাদা-বাদামি ছোপযুক্ত কুকুর রাস্তায় একে অপরের দিকে তাকিয়ে আছে।
two dogs of different breeds looking at each other on the road .,ভিন্ন জাতের দুটি কুকুর রাস্তায় একে অপরের দিকে তাকিয়ে আছে
two dogs on pavement moving toward each other .,রাস্তার পাশে দুইটি কুকুর পরস্পরের দিকে এগিয়ে যাচ্ছ।
a little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,রঙে মাখা একটি ছোট মেয়ে হাতে একটি রঙের বাটিতে হাত দিয়ে একটি রঙ দিয়ে আঁকা রংধনুর সামনে বসে আছে।
a little girl is sitting in front of a large painted rainbow .,একটি ছোটো মেয়ে একটি হাতে আঁকা রংধনুর সামনে বসে আছে।
a small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,একটি ছোটো মেয়ে ঘাসে বসে আঙুলে রং নিয়ে খেলা করছে একটি রংধনু আঁকা সাদা ক্যানভসের সামনে
there is a girl with pigtails sitting in front of a rainbow painting .,চুলে বেণী করা ছোট মেয়েটি একটি রংধনু চিত্রের সামনে বসে আছে।
