,id,translation
0,0,"{'en': 'a child in a pink dress is climbing up a set of stairs in an entry way .', 'bn': 'একটি গোলাপী জামা পরা বাচ্চা মেয়ে একটি বাড়ির প্রবেশ পথের সিঁড়ি বেয়ে উঠছে।'}"
1,1,"{'en': 'a girl going into a wooden building .', 'bn': 'একটি মেয়ে শিশু একটি কাঠের বাড়িতে ঢুকছে'}"
2,2,"{'en': 'a little girl climbing into a wooden playhouse .', 'bn': 'একটি বাচ্চা তার কাঠের খেলাঘরে উঠছে ।'}"
3,3,"{'en': 'a little girl climbing the stairs to her playhouse .', 'bn': 'ছোট মেয়েটি তার খেলার ঘরের সিড়ি বেয়ে উঠছে'}"
4,4,"{'en': 'a little girl in a pink dress going into a wooden cabin .', 'bn': 'গোলাপি জামা পড়া ছোট একটি মেয়ে একটি কাঠের তৈরি ঘরে প্রবেশ করছে।'}"
5,5,"{'en': 'a black dog and a spotted dog are fighting', 'bn': 'একটি কালো কুকুর এবং একটি ছোপওয়ালা কুকুর ঝগড়া করছে'}"
6,6,"{'en': 'a black dog and a tri-colored dog playing with each other on the road .', 'bn': 'একটি কালো কুকুর একটি তিন রঙা কুকুরের সাথে রাস্তায় খেলছে।'}"
7,7,"{'en': 'a black dog and a white dog with brown spots are staring at each other in the street .', 'bn': 'একটি কালো কুকুর ও একটি সাদা-বাদামি ছোপযুক্ত কুকুর রাস্তায় একে অপরের দিকে তাকিয়ে আছে।'}"
8,8,"{'en': 'two dogs of different breeds looking at each other on the road .', 'bn': 'ভিন্ন জাতের দুটি কুকুর রাস্তায় একে অপরের দিকে তাকিয়ে আছে'}"
9,9,"{'en': 'two dogs on pavement moving toward each other .', 'bn': 'রাস্তার পাশে দুইটি কুকুর পরস্পরের দিকে এগিয়ে যাচ্ছ।'}"
10,10,"{'en': 'a little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .', 'bn': 'রঙে মাখা একটি ছোট মেয়ে হাতে একটি রঙের বাটিতে হাত দিয়ে একটি রঙ দিয়ে আঁকা রংধনুর সামনে বসে আছে।'}"
11,11,"{'en': 'a little girl is sitting in front of a large painted rainbow .', 'bn': 'একটি ছোটো মেয়ে একটি হাতে আঁকা রংধনুর সামনে বসে আছে।'}"
12,12,"{'en': 'a small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .', 'bn': 'একটি ছোটো মেয়ে ঘাসে বসে আঙুলে রং নিয়ে খেলা করছে একটি রংধনু আঁকা সাদা ক্যানভসের সামনে'}"
